,Name,City,State,Zip,Type Detailed*,Current Guaranteed Minimum,Average Daily Population,current_as_of
0,,,,,,,0,2024-01-12
1,ABBOTT HOUSE,IRVINGTON,NY,10533,ORR,,23,2021-01-07
2,ABBOTT HOUSE - BRONX,BRONX,NY,10453,ORR,,13,2021-01-07
3,ABERDEEN CITY JAIL,ABERDEEN,WA,98520,IGSA,,0,2021-01-07
4,ABILENE HOLD ROOM,ABILENE,TX,79601,HOLD,,0,2021-01-07
5,ABILENE REGIONAL MED CTR,ABILENE,TX,79606,HOSPITAL,,0,2021-01-07
6,ABRAXAS ACADEMY DETENTION CENTER,MORGANTOWN,PA,19543,JUVENILE,,0,2021-01-07
7,ABRAXAS-H ARCIA CENTER,SAN ANTONIO,TX,78232,ORR,,0,2021-01-07
8,"ACI (CRANSTON, RHODE ISLAND)",CRANSTON,RI,2920,IGSA,,0,2021-01-07
9,ADA COUNTY JAIL,BOISE,ID,83704,IGSA,,0,2021-01-07
10,ADAIR COUNTY REGIONAL JAIL,COLUMBIA,KY,42728,Other,,0,2021-01-07
11,ADAMS COUNTY,RITZVILLE,WA,99169,IGSA,,0,2021-01-07
12,ADAMS COUNTY CORRECTIONAL CENTER,NATCHEZ,MS,39120,DIGSA,"1,436",2214,2025-11-10
13,ADAMS COUNTY DET CENTER,NATCHEZ,MS,39120,DIGSA,"1,100",2171,2025-09-15
14,ADAMS COUNTY JAIL,BRIGHTON,CO,80601,IGSA,,0,2021-01-07
15,ADAMS COUNTY JAIL,GETTYSBURGH,PA,17325,IGSA,,0,2021-01-07
16,ADDISON COUNTY JAIL,MIDDLEBURY,VT,5753,IGSA,,0,2021-01-07
17,ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,92301,CDF,640,1755,2025-11-10
18,"ADIRONDACK CF, RAYBROOK",RAY BROOK,NY,12977,Other,,0,2021-01-07
19,AGANA HOLD,HAGATNA,GU,96910,HOLD,,0,2021-01-07
20,AGUADILLA,AGUADILLA,PR,603,HOLD,,0,2021-01-07
21,AIRPORT HOTEL (SAN JUAN),ISLA VERDE,PR,913,Other,,0,2021-01-07
22,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,27253,IGSA,40,22,2025-11-10
23,ALAMOSA HOLDROOM,ALAMOSA,CO,81101,HOLD,,0,2021-01-07
24,ALBA CARE - MORENO VALLEY,MORENO VALLEY,CA,92553,ORR,,2,2021-01-07
25,ALBA CARE TFC,EL CENTRO,CA,92243,ORR,,5,2021-01-07
26,ALBANY COUNTY JAIL,ALBANY,NY,12211,USMS IGA,,0,2021-01-07
27,ALBANY COUNTY JAIL,LARAMIE,WY,82070,IGSA,,0,2021-01-07
28,ALBANY HOLD ROOM,LATHAM,NY,12110,HOLD,,0,2021-01-07
29,ALBEMARLE-CHARLOTTSVILLE,CHARLOTTESVILLE,VA,22901,IGSA,,0,2021-01-07
30,ALBUQUERQUE HOLD ROOM,ALBUQUERQUE,NM,87106,HOLD,,0,2021-01-07
31,ALEXANDRIA CITY JAIL,ALEXANDRIA,VA,22314,USMS IGA,,0,2023-01-09
32,ALEXANDRIA STAGING FACILI,ALEXANDRIA,LA,71303,STAGING,,415,2025-11-10
33,ALEXANDRIA STAGING FACILITY,ALEXANDRIA,LA,71303,STAGING,,321,2025-06-23
